id,id_name,typ,alter,land,position
ja_bl,janis blaswich,1,1991,deutschland,torwart
ja_sc,jannik schuster,1,2006,oesterreich,innenverteidiger
ja_la,jake lacava,1,2001,usa,rechtsaußen
ja_pe,jason pendant,1,1997,frankreich,linker verteidiger
ja_we,jasper van der werff,1,1998,schweiz,innnenverteidiger
ja_re,jayden reid,1,2001,usa,linker verteidiger
je_ca,jesus castellano,1,2004,venezuela,offensives mittelfeld
je_on,jerome onguene,1,1997,kamerun,innenverteidiger
jo_ci,joao cipriano,1,2002,brasilien,innenverteidiger
jo_va,joao vitor vallony da silva,1,2001,brasilien,innenverteidiger
jo_ca,johan caicedo,1,2004,kolumbien,defensives mittelfeld
jo_kr, jonas krumrey,1,2003,deutschland,torwart
jo_gv,josko gvardiol,1,2002,kroatien,linker verteidiger
jo_hu,jorge hurtado,1,2003,kolumbien,mittelstuermer
jos_hur,jose andres hurtado,1,2001,ecuador,rechter verteidiger
jo_ma,josep martinez,1,1998,spanien,torwart
jo_me,john mellberg,1,2006,schweden,linker verteidiger
jo_wo,joscha wosz,1,2002,deutschland,offensives mittelfeld
ju_mi,juan mina,1,2004,kolumbien,rechter verteidiger
ju_ad,junior adamu,1,2001,oesterreich,sturm
ju_fc,junior fc,2,-1,kolumbien,-1
ju_ca,juninho capixaba,1,1997,brasilien,linker verteidiger
ju_ha,julian halwachs,1,2003,oesterreich,defensives mittelfeld
ju_kl,justin kluviert,1,1999,niederlande,offensives mittelfeld
ju_u20,juventus turin u20,2,-1,italien,-1
ju_tude,juventude,2,-1,brasilien,-1
ju_om,justin omoregie,1,2003,oesterreich,zentrales mittelfeld
ka_ad,karim adeyemi,1,2002,deutschland,rechtsaußen
ka_na,karvina,2,-1,tschechien,-1
ka_ge,akk gent,2,-1,belgien,-1
ka_ko,karim konate,1,2004,elfenbeinkueste,sturm
ka_ka,kazincbarcika,2,-1,ungarn,-1
ka_pi,kamil piatkowski,1,2000,polen,innenverteidiger
ka_fe,kawe ferreira,1,2002,brasilien,rechtsaußen
ke_lo,kevin lomonaco,1,2002,argentinien,innenverteidiger
ko_ge,konstantin gertig,1,2004,deutschland,linker verteidiger
ko_la,konrad laimer,1,1997,oesterreich,zentrales mittelfeld
ki_lu,klian ludewig,1,2000,deutschland,rechter verteidiger
ki_sc,kilian schroecker,1,2001,oesterreich,torwart
kvcw,kvc westerlo,2,-1,belgien,-1
kvoo,kv oostende,2,-1,belgien,-1
ky_du,kyle duncan,1,1997,usa,rechter verteidiger
la_ag,lawrence agyekum,1,2003,ghana,zentrales mittelfeld
la_sa,lazar samardzic,1,2002,serbien,zentrales mittelfeld
la_sp,fc lausanne sport,2,-1,schweiz,-1
la_sk,lask,2,-1,oesterreich,-1
lask_u18,aka lask u18,2,-1,oesterreich,-1
le_ci,leicester city,2,-1,england,-1
le_mo,lewis morgan,1,1996,schottland,linksaußen
lea_mo,leandro morgalla,1,2004,deutschland,rechter verteidiger
le_he,leandro henrique,1,1998,brasilien,linksaußen
leo_zi,leopold zingerle,1,1994,deutschland,torwart
leik,leiknir reykjavik,2,-1,island,-1
li_ol,lincoln henrique oliviera,1,1998,brasilien,offensives mittelfeld
lo_za,nk lokomotiva zagreb,2,-1,kroatien,-1
lok_mo,lokomotiv moskau,2,-1,russland,-1
lond,londrina ec,2,-1,brasilien,-1
loufc,loudoun united fc,2,-1,usa,-1
lo_op,lois openda,1,2000,belgien,mittelstuermer
lafc,los angeles fc,2,-1,usa,-1
lu_ca,luan candido,1,2001,brasilien,linker verteidiger
lu_pa,luan patrick,1,2002,brasilien,innenverteidiger
lu_le,luca lewis,1,2001,usa,torwart
lu_cu,lucas cunha,1,1997,brasilien,innenverteidiger
lu_ev,lucas evangelista,1,1995,brasilien,zentrales mittelfeld
lu_do,lucas gourna douath,1,2003,frankreich,defensives mittelfeld
lu_ga,lucas galdino,1,2001,brasilien,torwart
lu_mo,lucas monzon,1,2001,brasilien,innenverteidiger
lu_gon,lucas raphael goncalves da silva,1,1998,brasilien,innenverteidiger
lu_lb,lukas lbertsberger,1,2003,oesterreich,linker verteidiger
lu_ph,luis phelipe,1,2001,brasilien,linksaußen
lu_wa,lukas wallener,1,2003,oesterreich,innenverteidiger
le_un,leeds united,2,-1,england,-1
le_or,leonardo rech ortiz,1,1996,brasilien,innenverteidiger
lu_va,lucho vasquez,1,2003,kolumbien,innenverteidiger
luqu,luquinhas,1,1996,brasilien,linksaußen
lw,legia warschau,2,-1,polen,-1
malm,malmoe ff,2,-1,schweden,-1
ma_ci,manchester city,2,-1,england,-1
ma_as,majeed ashimeru,1,1997,ghana,zentrales mittelfeld
ma_di,mamady diambou,1,2002,mali,defensives mittelfeld
ma_de,mads didstrup,1,2001,daenemark,zentrales mittelfeld
ma_sa,marcelo saracchi,1,1998,uruguay,linker verteidiger
ma_sc,matteo schablas,1,2005,deutschland,linker verteidiger
ma_be,marcell berki,1,2004,ungarn,mittelstuermer
ma_ge,mark gevorgyan,1,2005,deutschland,rechter verteidiger
ma_jo,mathias jorgensen,1,2000,daenemark,rechtsaußen
ma_kj,maurits kjaergaard,1,2003,daenemark,zentrales mittelfeld
ma_ha,marcel halstenberg,1,1991,deutschland,innenverteidiger
ma_mo,marcel_moswitzer,1,2005,oesterreich,innenverteidiger
ma_no,matthew nocita,1,2000,usa,innenverteidiger
ma_ok,masaya okugawa,1,1996,japan,linksaußen
ma_pej,mario pejazic,1,2005,oesterreich,linker verteidiger
mari,maringa fc,2,-1,brasilien,-1
ma_pe,matheus peixoto,1,1995,brasilien,mittelstuermer
ma_fe,matheus fernandes,1,1998,brasilien,defensives mittelfeld
ma_go,matheus goncalves,1,2005,brasilien,rechtsaußen
ma_sab,marcel sabitzer,1,1994,oesterreich,zentrales mittelfeld
ma_vi,marcos vinicios lopes moura,1,2001,brasilien,linksaußen
ma_wo,maximilian woeber,1,1998,oesterreich,innenverteidiger
ma_san,mamadou sangaré,1,2002,mali,zentrales mittelfeld
me_be,mergim berisha,1,1998,deutschland,sturm
me_ib,mehmet ibrahimi,1,2003,deutschland,linksaußen
me_ka,metalist kharkiv,2,-1,ukraine,-1
mi_si,miguel silveira,1,2003,brasilien,offensives mittelfeld
mi_un,minnesota united,2,-1,usa,-1
midt,fc midtjylland,2,-1,daenemark,-1
mo_sa,mohammad sadeqi,1,2004,oesterreich,zentrales mittelfeld
mo_ne,moritz neumann,1,2005,oesterreich,mittelstuermer
mo_ca,mohamed camara,1,2000,mali,defensives mittelfeld
